,Temperature,Humidity,Cloudiness,Wind_Speed,Latitude,city
0,284.06,46,40,17.0,-53.16,punta arenas
1,291.233,53,0,5.12,-33.21,jamestown
2,274.43,66,75,4.6,42.65,albany
3,284.083,85,12,2.42,-46.28,kaitangata
4,299.158,73,0,1.32,20.66,moa
5,305.15,33,40,2.1,-3.68,zorritos
6,299.15,74,75,6.2,-0.74,puerto ayora
7,289.908,100,0,5.72,-33.64,busselton
8,242.15,74,5,1.5,66.15,pangnirtung
9,270.933,100,68,18.82,60.72,qaqortoq
10,295.408,48,0,2.27,15.34,vaini
11,289.15,44,20,6.2,-42.78,new norfolk
12,296.883,54,24,3.17,-34.42,hermanus
13,298.433,84,8,1.07,-2.59,barabai
14,274.15,100,90,7.7,40.41,mesimerion
15,298.333,100,100,9.92,-23.12,rikitea
16,299.483,63,0,4.92,-33.59,port alfred
17,243.133,31,0,1.52,54.05,urusha
18,297.15,60,75,1.5,-32.03,rio grande
19,299.583,93,48,1.47,-26.98,san patricio
20,290.683,16,0,5.62,8.96,lebu
21,283.7,57,75,18.0,-54.81,ushuaia
22,293.008,42,0,1.87,24.09,aswan
23,269.133,91,88,1.77,60.91,narsaq
24,295.358,85,64,0.72,-8.93,airai
25,308.69,49,0,4.1,-22.97,arraial do cabo
26,258.483,100,36,5.12,66.83,yar-sale
27,295.683,72,0,1.37,-10.07,huarmey
28,304.15,70,40,2.1,-9.87,alta floresta
29,296.633,75,0,4.47,-23.58,bluff
30,301.15,78,75,8.2,6.8,georgetown
31,254.883,100,44,3.72,73.51,dikson
32,268.15,92,75,1.0,67.86,kiruna
33,282.58,81,75,7.2,60.4,brae
34,250.633,65,64,1.42,70.62,chokurdakh
35,267.67,84,1,5.32,48.11,devils lake
36,269.86,44,1,4.1,34.56,camp verde
37,275.95,77,24,5.7,52.67,oakham
38,263.15,78,75,4.6,65.28,norman wells
39,300.508,97,44,12.07,11.72,pandan
40,289.15,44,20,6.2,-42.88,hobart
41,290.15,77,20,2.6,38.52,ribeira grande
42,253.083,88,0,3.57,77.48,qaanaaq
43,287.15,54,0,0.5,43.2,beira
44,248.15,75,75,3.6,70.47,clyde river
45,288.408,58,0,5.12,-46.19,mataura
46,275.98,74,0,3.1,51.22,farnham
47,280.62,76,1,5.1,30.04,nome
48,298.658,90,12,3.42,-29.69,santa maria
49,302.533,73,32,4.12,-8.9,sao jose da coroa grande
50,249.783,70,36,5.47,71.97,saskylakh
51,293.15,88,40,3.1,20.71,ixtapa
52,294.15,46,40,2.1,-0.39,san cristobal
53,301.15,78,40,3.6,-20.41,mahebourg
54,228.908,0,20,0.82,64.57,ust-nera
55,301.283,100,0,4.22,-16.78,tevaitoa
56,300.233,100,0,7.62,-9.8,atuona
57,280.15,70,75,2.1,33.93,katsuura
58,256.15,84,90,4.1,69.44,tuktoyaktuk
59,266.033,100,44,2.57,50.68,severo-kurilsk
60,267.05,95,1,1.17,31.34,douglas
61,270.76,72,1,4.6,35.54,pampa
62,301.858,24,44,4.37,13.32,diffa
63,299.758,56,0,4.87,-38.31,barrow
64,274.15,86,88,12.3,65.61,tasiilaq
65,301.158,100,80,6.77,-2.02,lorengau
66,267.683,81,64,2.02,50.56,husavik
67,301.408,59,24,4.67,-25.17,beloha
68,293.75,84,90,3.1,19.71,hilo
69,296.15,94,75,1.0,-19.06,alofi
70,288.48,51,0,3.6,38.18,fortuna
71,267.15,79,75,4.6,55.74,thompson
72,300.383,81,56,1.97,-20.63,ponta do sol
73,304.283,65,0,1.77,7.53,bonthe
74,271.758,95,80,16.12,60.14,nanortalik
75,241.15,67,40,1.52,63.75,iqaluit
76,292.908,75,0,8.72,-26.65,luderitz
77,273.15,90,90,3.1,62.43,kauhajoki
78,268.93,37,75,2.1,47.66,torbay
79,298.15,88,40,1.62,21.05,teya
80,280.933,100,100,2.27,33.37,muroto
81,302.15,70,75,1.5,-2.03,olinda
82,302.15,83,75,1.0,5.28,victoria
83,295.333,99,92,3.22,-30.17,cidreira
84,248.15,83,90,1.0,52.04,aksu
85,274.17,81,1,2.6,34.64,lompoc
86,272.04,96,1,2.6,39.95,kodiak
87,271.15,86,90,4.6,51.26,moose factory
88,269.758,68,0,0.77,29.05,sahuaripa
89,272.833,91,92,4.87,41.19,gazojak
90,302.033,100,92,6.62,-2.57,kavieng
91,243.333,62,68,1.07,60.47,tilichiki
92,258.633,83,80,4.12,55.56,ust-tarka
93,271.833,90,88,1.27,32.93,uruzgan
94,306.333,11,0,7.72,-30.97,carnarvon
95,267.183,62,0,2.87,37.17,sitka
96,298.983,100,80,2.72,-9.11,atambua
97,295.483,100,0,2.37,-33.69,chuy
98,267.15,85,90,5.0,59.7,nikolskoye
99,295.508,87,0,1.92,-34.58,flinders
100,243.433,60,44,1.32,62.93,seymchan
101,265.583,100,0,7.27,42.43,khasan
102,232.083,0,0,1.17,59.7,arman
103,289.15,67,20,5.1,-42.48,castro
104,248.333,100,44,6.17,69.38,leningradskiy
105,300.933,100,48,3.32,-0.6,hithadhoo
106,297.283,36,0,6.82,-46.43,mar del plata
107,260.508,85,64,1.72,65.85,mezen
108,242.783,66,64,1.67,68.75,cherskiy
109,248.433,59,0,1.52,54.72,chumikan
110,265.15,92,75,2.6,52.36,langham
111,254.15,77,75,1.17,63.59,mayo
112,297.15,94,90,4.1,-21.21,avarua
113,291.15,59,75,4.6,33.08,camacha
114,273.57,80,75,2.1,35.73,hasaki
115,301.233,84,76,0.77,-5.12,novo aripuana
116,275.15,93,90,1.0,51.3,golden
117,290.15,93,40,4.6,37.72,vila franca do campo
118,290.15,27,0,2.6,24.63,riyadh
119,297.15,57,0,9.3,-33.93,cape town
120,280.15,75,75,4.1,50.12,penzance
121,300.733,100,8,4.37,6.62,kulhudhuffushi
122,278.433,72,0,0.77,28.06,pasighat
123,271.16,74,75,1.0,37.57,seoul
124,275.508,94,64,3.37,29.72,dongsheng
125,262.15,85,5,2.1,55.1,la ronge
126,295.8,57,20,4.6,21.32,ewa beach
127,292.533,77,0,0.47,17.54,san quintin
128,307.933,43,0,4.77,-5.2,quixeramobim
129,294.12,73,75,8.7,22.08,kapaa
130,280.15,45,0,8.2,43.83,nimes
131,300.508,100,92,4.37,3.07,butaritari
132,286.883,88,0,1.52,28.43,kashmor
133,269.258,85,80,4.32,51.32,sarny
134,297.15,73,0,9.3,-33.02,east london
135,283.383,89,0,1.22,-39.94,waipawa
136,287.15,50,75,1.0,41.96,khani
137,299.15,50,0,9.8,-34.53,bredasdorp
138,274.75,68,75,1.5,36.12,ishige
139,275.82,99,75,10.8,71.0,havoysund
140,299.15,100,20,2.1,-5.32,galesong
141,267.15,85,75,7.7,78.22,longyearbyen
142,247.858,63,44,1.37,71.98,khatanga
143,289.433,80,12,8.27,-46.13,tuatapere
144,307.15,44,0,5.1,-21.64,sao joao da barra
145,299.508,68,0,4.67,-20.74,karratha
146,296.15,100,40,1.0,1.3,tondano
147,298.783,24,0,2.47,9.5,nedjo
148,301.633,100,0,4.12,-16.48,faanui
149,274.57,80,90,7.7,45.36,saint-philippe
150,287.77,55,40,3.6,-45.58,coihaique
151,281.88,81,75,1.62,34.05,hofu
152,256.183,100,8,1.97,64.42,provideniya
153,293.47,68,20,7.2,20.89,kahului
154,297.933,92,80,2.77,-6.32,panguna
155,262.508,83,24,6.57,68.05,ostrovnoy
156,281.15,93,75,6.2,36.98,suruc
157,301.008,22,0,4.32,16.77,tombouctou
158,266.008,87,80,2.72,56.23,cheremukhovo
159,300.433,96,92,10.67,12.45,anito
160,299.15,78,8,4.1,-16.99,mareeba
161,253.533,74,80,3.82,59.44,vitim
162,255.15,77,90,3.6,62.45,yellowknife
163,259.358,93,68,5.62,67.47,tazovskiy
164,267.633,100,0,2.72,47.17,marystown
165,273.77,75,1,2.6,40.52,altoona
166,301.15,88,75,5.7,-20.31,port hedland
167,285.783,64,0,3.67,28.9,dalbandin
168,253.933,72,88,3.22,61.28,yerbogachen
169,246.133,69,0,1.07,53.74,zeya
170,304.15,62,20,8.2,-3.71,vila velha
171,301.15,78,40,3.6,-20.01,grand gaube
172,287.383,100,76,8.12,32.77,darnah
173,293.15,56,0,6.2,-36.72,talcahuano
174,279.72,73,0,5.7,45.6,souillac
175,299.15,69,90,5.1,-21.2,urupes
176,258.15,77,75,4.6,68.22,aklavik
177,272.3,50,1,1.07,35.98,boulder city
178,275.58,72,1,2.1,36.62,pacific grove
179,295.15,53,0,2.6,-36.63,coihueco
180,290.233,40,0,5.47,27.87,adrar
181,301.008,100,12,7.87,11.67,port blair
182,301.15,61,40,10.3,13.22,bathsheba
183,266.15,79,75,3.6,69.22,ilulissat
184,295.15,30,20,3.1,-13.71,pisco
185,301.333,100,0,0.87,10.57,kavaratti
186,294.533,71,44,1.17,22.69,ibra
187,301.15,78,40,3.6,-20.34,bambous virieux
188,265.008,66,56,2.77,37.43,dongying
